Analytical Thinking,Problem Solving,Creativity,Communication Skills,Leadership,Empathy,Teamwork,Scientific Interest,Technological Interest,Design Skills,Mathematical Skills,Medical Knowledge,Legal Knowledge,Business Acumen,Research Skills,Marketing Skills,Teaching Skills,Software Development Knowledge,Artistic Skills,Attention to Detail,Career
4,3,1,2,2,1,1,4,2,2,2,2,2,1,3,2,1,2,2,2,Research Scientist
2,3,2,1,2,2,4,2,1,2,3,1,2,1,2,2,1,1,1,4,Pilot
2,1,2,3,1,3,1,2,1,2,2,3,2,1,2,2,2,1,2,3,Nurse
4,4,2,2,2,2,1,2,4,1,4,2,2,1,2,1,2,1,2,1,Engineer
2,1,3,1,1,1,1,1,1,4,1,2,2,1,2,1,1,1,4,3,Fashion Designer
2,2,2,3,2,1,2,4,1,1,2,4,1,2,2,1,2,1,2,3,Pharmacist
3,2,2,1,1,1,2,1,2,1,3,2,2,3,2,2,2,1,2,4,Accountant
1,2,1,4,2,4,4,1,1,2,1,2,1,1,2,1,3,2,1,1,Teacher
2,4,1,1,1,2,3,1,1,2,3,2,1,2,2,2,2,2,2,4,Pilot
4,3,1,3,1,1,1,2,1,2,2,2,4,1,1,2,2,2,2,2,Lawyer
3,2,2,1,1,1,2,2,2,1,3,1,2,3,1,1,1,2,2,3,Accountant
2,1,3,2,1,1,1,2,1,3,3,1,1,2,1,1,1,1,1,3,Architect
3,3,2,1,1,1,2,2,4,1,4,1,2,2,2,1,2,2,1,2,Engineer
3,3,1,4,2,1,2,1,2,2,2,2,4,2,1,2,2,2,2,1,Lawyer
2,4,1,2,2,2,3,2,1,1,4,1,2,1,2,2,1,1,2,3,Pilot
2,1,4,2,2,2,2,1,1,4,2,2,2,2,1,1,1,1,4,4,Graphic Designer
1,3,1,3,1,3,2,2,2,1,1,1,1,2,4,2,1,2,2,2,Psychologist
3,3,2,3,2,1,2,1,1,2,1,2,2,3,2,2,2,1,1,1,Business Analyst
4,3,1,3,2,2,2,2,1,2,1,2,4,2,2,1,2,2,2,2,Lawyer
2,1,2,3,4,1,1,2,1,1,2,1,2,3,1,4,2,1,2,2,Marketing Manager
1,4,3,1,1,2,2,1,4,2,1,2,2,1,1,2,1,3,2,2,Web Developer
2,4,1,1,2,1,4,1,1,1,4,1,2,2,1,1,2,1,1,3,Pilot
1,2,3,2,2,2,2,2,2,3,3,2,2,2,1,1,2,1,1,3,Architect
4,3,2,2,1,1,2,2,3,2,4,1,2,2,1,1,1,1,1,2,Engineer
4,4,2,1,1,1,2,3,1,1,1,2,2,1,4,1,1,1,1,2,Research Scientist
3,2,2,2,2,2,1,1,1,2,3,1,1,3,2,1,1,2,2,4,Accountant
